CHAVE;EMPRESA;ANO;MES;DATA;CLIENTE;DOC;PRODUTO;QTD;PRECO;VALOR;DESC;CAIXA;FORMA;TIPO;VENDEDOR;GRUPO;SUBGRUPO
;T CASA 01 - Matriz;2025;4;13/04/2025;VENDA CONSUMIDOR;4558;ESCADA RESIDENCIAL 7 DEGRAUS;1;378,29;378,29;19,91;2;BANCO;CUPOM MANUAL;HC RENATO;UD/JARD/PRES/DECOR;ESCADA
;T CASA 01 - Matriz;2025;4;14/04/2025;VENDA CONSUMIDOR;950;ESCADA RESIDENCIAL 7 DEGRAUS;1;378,29;378,29;19,91;1;DINHEIRO;CUPOM MANUAL;HC RENATA;UD/JARD/PRES/DECOR;ESCADA
;T CASA 01 - Matriz;2025;5;06/05/2025;GUEDES REZENDE ENG;9973;CABO FLEXIVEL 750V;100;3,78;378;0;;A PRAZO;NFDAV;HC CARLOS SILVA;ELETRICO/ILUMINACAO;CABO ELETRICO
;T CASA 01 - Matriz;2025;5;06/05/2025;GUEDES REZENDE ENG;9973;CABO FLEXIVEL 750V;100;3,78;378;0;;A PRAZO;NFDAV;HC CARLOS SILVA;ELETRICO/ILUMINACAO;CABO ELETRICO
;T CASA 01 - Matriz;2025;10;29/10/2025;VENDA CONSUMIDOR;10670;PENDENTE OKA CUBE MADEIRA 46CM 1XE27;1;378;378;161,99;1;CARTÃO;CUPOM MANUAL;HC RENATA;ELETRICO/ILUMINACAO;PENDENTE
;T CASA 01 - Matriz;2025;10;23/10/2025;IT CENTER;13245;FICUS LYRATA REAL TOQUE X72 VERDE 1,2M;1;377,7;377,7;0;;A PRAZO;NFDAV;VENDEDOR PADRAO;UD/JARD/PRES/DECOR;ARRANJO FLORAL
;T CASA 01 - Matriz;2025;9;05/09/2025;VENDA CONSUMIDOR;10718;DUCHA HIGIENICA MANUAL ALL GOLD MATTE;1;377,6;377,6;0;2;CARTÃO;CUPOM MANUAL;HC MILTON;COZINHA/BANHEIROS;DUCHA
;T CASA 01 - Matriz;2025;9;06/09/2025;VENDA CONSUMIDOR;8096;DUCHA HIGIENICA MANUAL ALL GOLD MATTE;1;377,6;377,6;0;1;CARTÃO;CUPOM MANUAL;HC MILTON;COZINHA/BANHEIROS;DUCHA
;T CASA 01 - Matriz;2025;8;29/08/2025;GM ENGENHARIA;12147;SELADOR ACRILICO POUPE - 15L 00281510999;3;125,8;377,4;0;;A PRAZO;NFDAV;HC RENATO;TINTA/IMPERM/COMPLEM;TINTA
;T CASA 01 - Matriz;2025;8;21/08/2025;DATASOL;12002;MASSA ACRILICA 20KG VERCRYL;3;125,77;377,31;0,63;;A PRAZO;NFDAV;HC ALLAN;TINTA/IMPERM/COMPLEM;MASSA ACRILICA
